model,n_params,rank,mag,mag_over_median
pythia-1.4b,1414647808,51,5.509765625,4.6236426961649375
pythia-1.4b,1414647808,52,5.4990234375,4.614628149965395
pythia-1.4b,1414647808,53,5.3955078125,4.527760704769812
pythia-1.4b,1414647808,54,5.361328125,4.49907805777127
pythia-1.4b,1414647808,55,5.31640625,4.4613808645731865
pythia-1.4b,1414647808,56,5.3056640625,4.452366318373645
pythia-1.4b,1414647808,57,5.2783203125,4.429420200774811
pythia-1.4b,1414647808,58,5.2529296875,4.408113091575895
pythia-1.4b,1414647808,59,5.2509765625,4.406474083175978
pythia-1.4b,1414647808,60,5.2177734375,4.378610940377395
pythia-1.4b,1414647808,61,5.193359375,4.358123335378436
pythia-1.4b,1414647808,62,5.12890625,4.304036058181186
pythia-1.4b,1414647808,63,5.1220703125,4.298299528781477
pythia-1.4b,1414647808,64,5.07470703125,4.258553575083498
pythia-2.8b,2775208960,1,828.375,1038.57483930081
pythia-2.8b,2775208960,2,177.21875,222.18794000584327
pythia-2.8b,2775208960,3,169.09375,212.00122436459495
pythia-2.8b,2775208960,4,75.734375,94.95194367909737
pythia-2.8b,2775208960,5,66.5625,83.45270890714974
pythia-2.8b,2775208960,6,64.484375,80.84726048352276
pythia-2.8b,2775208960,7,47.78125,59.9057239056488
pythia-2.8b,2775208960,8,21.84375,27.386593204740688
pythia-2.8b,2775208960,9,20.08203125,25.177838995989248
pythia-2.8b,2775208960,10,19.46484375,24.40404040400981
pythia-2.8b,2775208960,11,19.4140625,24.340373431252004
pythia-2.8b,2775208960,12,12.25,15.358432812959013
pythia-2.8b,2775208960,13,11.51953125,14.442607897135245
pythia-2.8b,2775208960,14,9.14453125,11.464952555847272
pythia-2.8b,2775208960,15,8.2158203125,10.300581573295933
pythia-2.8b,2775208960,16,7.65625,9.599020508099382
pythia-2.8b,2775208960,17,7.1953125,9.021120293836256
pythia-2.8b,2775208960,18,6.3798828125,7.998775635129244
pythia-2.8b,2775208960,19,6.1328125,7.689011325365322
pythia-2.8b,2775208960,20,5.5595703125,6.970309152118595
pythia-2.8b,2775208960,21,5.216796875,6.540557086003432
pythia-2.8b,2775208960,22,5.130859375,6.4328129782594585
pythia-2.8b,2775208960,23,4.8662109375,6.101010101002452
pythia-2.8b,2775208960,24,4.6943359375,5.885521885514507
pythia-2.8b,2775208960,25,4.6748046875,5.861034588299967
pythia-2.8b,2775208960,26,4.5791015625,5.741046831948725
pythia-2.8b,2775208960,27,4.4189453125,5.540250994789504
pythia-2.8b,2775208960,28,4.35546875,5.460667278842251
pythia-2.8b,2775208960,29,4.2802734375,5.366391184566274
pythia-2.8b,2775208960,30,4.2509765625,5.329660238744466
pythia-2.8b,2775208960,31,4.2158203125,5.285583103758295
pythia-2.8b,2775208960,32,4.2109375,5.279461279454661
pythia-2.8b,2775208960,33,4.1669921875,5.2243648607219475
pythia-2.8b,2775208960,34,4.154296875,5.208448117532496
pythia-2.8b,2775208960,35,4.14501953125,5.196816651355591
pythia-2.8b,2775208960,36,4.140625,5.191307009482319
pythia-2.8b,2775208960,37,4.05517578125,5.08417508416871
pythia-2.8b,2775208960,38,4.01806640625,5.037649219461086
pythia-2.8b,2775208960,39,4.01025390625,5.02785430057527
