iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
17900,0.4,47.304,0.3221,4.34201,10.4940,6.6647,0.5676
18000,0.4,46.232,0.3225,4.33099,10.2213,6.1929,0.6333
18100,0.4,46.037,0.3257,4.32406,10.0649,6.1973,0.3088
18200,0.4,47.287,0.3179,4.31594,10.1382,5.9605,0.3558
18300,0.4,48.003,0.3349,4.30482,10.3264,6.0238,0.5715
18400,0.4,46.452,0.3078,4.30398,9.5188,5.9755,0.3179
18500,0.4,45.706,0.3117,4.30042,9.6399,5.9670,0.4120
18600,0.4,48.579,0.3213,4.28534,10.1341,6.3026,0.3750
18700,0.4,48.012,0.3238,4.27883,9.7866,5.9018,0.3300
18800,0.4,47.072,0.3171,4.27694,9.5290,5.5669,0.2475
18900,0.4,47.175,0.3123,4.27268,9.6331,5.8315,0.4552
19000,0.4,48.637,0.3121,4.26503,9.8038,5.8894,0.2805
19100,0.4,47.367,0.3139,4.25767,9.4322,5.8190,0.3553
19200,0.4,45.454,0.3032,4.24798,9.4805,5.5350,0.2328
19300,0.4,48.114,0.3005,4.24155,9.6071,5.6549,0.1980
19400,0.4,47.206,0.2943,4.24077,8.9796,5.3972,0.2328
19500,0.4,50.158,0.3253,4.22825,9.9138,6.0672,0.2939
19600,0.4,49.276,0.3048,4.21549,9.6296,5.4935,0.1840
19700,0.4,45.752,0.2976,4.21255,9.1027,5.5279,0.2343
19800,0.4,46.718,0.2871,4.20563,9.1925,5.2634,0.2117
19900,0.4,49.748,0.2980,4.19570,9.1171,5.4733,0.2375
20000,0.4,49.692,0.3096,4.18396,9.5533,5.5614,0.2084
20100,0.4,48.661,0.2975,4.17815,9.1778,5.4986,0.2402
20200,0.4,47.820,0.2899,4.17067,9.0984,5.3858,0.2297
20300,0.4,46.285,0.2937,4.16563,8.5572,4.8598,0.2435
20400,0.4,47.435,0.2993,4.16899,8.8289,5.0436,0.2471
20500,0.4,46.385,0.2991,4.15643,8.9299,5.1528,0.2083
20600,0.4,48.082,0.2953,4.15136,8.9949,5.3876,0.2558
20700,0.4,48.741,0.2990,4.14314,8.9766,5.1469,0.2567
20800,0.4,47.937,0.2952,4.13565,8.7604,5.1319,0.2825
20900,0.4,47.039,0.2823,4.12375,8.5667,4.9936,0.2662
21000,0.4,46.434,0.2986,4.11842,8.3255,4.8661,0.2879
21100,0.4,45.559,0.2720,4.10716,8.1143,4.5382,0.3003
21200,0.4,49.584,0.2854,4.09398,8.8600,4.8716,0.2845
21300,0.4,47.172,0.2785,4.08198,8.2789,4.7015,0.2931
21400,0.4,47.395,0.2854,4.07708,8.1814,4.5096,0.2718
21500,0.4,48.748,0.2810,4.06632,8.4122,4.4267,0.2774
21600,0.4,46.590,0.2737,4.05374,8.1026,4.6635,0.2943
21700,0.4,47.965,0.2723,4.04338,7.9049,4.4941,0.2626
21800,0.4,46.677,0.2744,4.03468,8.1712,4.5045,0.2328
21900,0.4,46.665,0.2791,4.02986,7.9612,4.2063,0.2368
22000,0.4,49.201,0.2621,4.02338,8.1183,4.4110,0.4768
22100,0.4,50.245,0.2741,4.01658,8.2020,4.4705,0.3090
22200,0.4,51.471,0.2685,4.01217,8.0400,4.3468,0.2393
22300,0.4,50.438,0.2689,4.00067,7.8021,4.3236,0.2377
22400,0.4,50.022,0.2715,3.99033,8.3439,4.4219,0.2633
22500,0.4,48.317,0.2673,3.98355,7.8697,4.1869,0.4323
